date,group name,rank,last rank,up down,total messages,Datedifference,"count of the hashtag ""#FIVE""","count of the hashtag ""#FOUR""","count of the hashtag ""#Three""","count of the hashtag ""#SceneType""",score,total titles
2025-08-17,Annie King,47,49,2,2803,-1,10,10,2,22,164.85089503661513,22
2025-08-17,Nikita Bellucci,48,47,-1,266,27,10,9,1,18,155.87673362561355,7
2025-08-17,Kenzie Love,49,48,-1,2608,31,10,8,2,20,154.20249273590986,22
2025-08-17,Lexi Dona,50,50,0,2405,65,11,6,1,15,152.5178243434853,18
2025-08-17,Lily Lou,51,51,0,1791,45,10,8,1,19,152.17462683919666,19
2025-08-17,Calita Fire,52,52,0,1004,19,12,4,0,14,150.73986145872314,17
2025-08-17,Dolly Dyson,53,53,0,1533,62,8,11,1,19,146.67311851767928,18
2025-08-17,Sarah Vandella,54,54,0,2773,116,11,5,0,15,146.1748128044824,16
2025-08-17,Cherry Kiss,55,55,0,2889,158,6,13,7,26,142.70207760417202,29
2025-08-17,Britney Amber,56,56,0,2281,41,9,7,0,17,136.72925829033244,15
2025-08-17,EMILY THORNE,57,57,0,702,164,9,7,2,19,135.39332001249687,19
2025-08-17,Laure Zecchi,58,58,0,309,54,8,9,0,13,134.54072153386457,12
2025-08-17,Helena Valle,59,59,0,2140,208,9,7,0,14,134.23704451379518,16
2025-08-17,Dani Daniels,60,60,0,885,94,11,2,0,10,129.5639757775924,12
2025-08-17,Angel Young💋,61,61,0,1085,7,9,5,1,14,126.99102188210603,9
2025-08-17,Jadilica - Leo Ahsoka,62,62,0,1980,45,6,11,0,20,126.36685629403802,19
2025-08-17,Amirah Adara,63,63,0,2164,6,8,6,2,13,124.10252352031713,17
